,Radical,Name,Mnemonic,Level,URL
0,亅,BARB,"This radical is shaped like a barb. Like the kind you'd see on barb wire. Imagine one of these getting stuck to your arm or your clothes. Think about how much it would hurt with that little hook on the end sticking into you. Say out loud, ""Oh dang, I got a barb stuck in me!""",1,https://www.wanikani.com/radicals/barb
1,大,BIG,"This radical looks just like a stick figure—more specifically, a really big guy with his arms stretched out nice and big. When you see this radical, just think big, because this guy is really BIG!",1,https://www.wanikani.com/radicals/big
2,工,CONSTRUCTION,"You know those big steel girders that are used for the frame of big buildings? This is like the end of one of those, and have a very distinct shape, just like this radical. These girders are used in construction, which is why this radical means construction. Funny thing is, you use these girders to put together buildings just like you're going to use this radical to put together kanji!",1,https://www.wanikani.com/radicals/construction
3,十,CROSS,"This radical looks like a cross. I mean, just look at it. Two bars going through each other = a cross!",1,https://www.wanikani.com/radicals/cross
4,丶,DROP,"This little radical is a drop of water or some other liquid. Notice how it's only one drop? Sometimes radicals or kanji will have more than one drop, so it's important that you know how to tell them apart.",1,https://www.wanikani.com/radicals/drop
5,入,ENTER,"Watch out! This isn't the person radical, it's something else. What's the difference? The right side is longer than the left side. And on computers, it usually has that extra part sticking out of the top. It kind of looks like a flap opening to a teepee. And what do you do with an opening? You enter it! That's why this radical is enter.",1,https://www.wanikani.com/radicals/enter
6,ハ,FINS,"Picture a fish. Now picture the fish a little worse, like a child's drawing of the fish. Now erase the fish's body and... you're left with two fins! Do you see these two fins? Yeah, you see them.",1,https://www.wanikani.com/radicals/fins
7,一,GROUND,"This radical consists of a single, horizontal stroke. What's the biggest, single, horizontal stroke? That's the ground. Look at the ground, look at this radical, now look at the ground again. Kind of the same, right?",1,https://www.wanikani.com/radicals/ground
8,,GUN,"This looks a lot like a long gun pointing to the right. You have a shoulder rest on the left, and the barrel on the right. Imagine it hanging in a case on the wall in a museum.",1,https://www.wanikani.com/radicals/gun
9,,LEAF,"There's a leaf on top and a stem going down out of it, making it the leaf radical. It looks kind of like a lilypad, sitting on top of the water with its stem going down to the bottom where the dirt is.",1,https://www.wanikani.com/radicals/leaf
10,亠,LID,"This looks like something you'd put on a kettle or a pot, right? It even has a little handle to make sure you don't burn yourself. This is some kind of lid.",1,https://www.wanikani.com/radicals/lid
11,山,MOUNTAIN,"This is a mountain. You'll have to add the lines that make up the top of the mountain if you want it more ""mountain-like."" Also something that might help: sometimes mountains have a couple of smaller peaks coming out the side of the main peak too. Connect the dots and create the mountain in your mind.",1,https://www.wanikani.com/radicals/mountain
12,口,MOUTH,"A big, gaping, square hole represents someone opening their giant mouth to tell you something stupid.",1,https://www.wanikani.com/radicals/mouth
13,九,NINE,"If you look at this radical in just the right way, you'll notice that it kind of looks like the letters ""n"" and ""i"" (the ""i"" comes from the little flippy-up stroke on the right side). What do the letters ""n"" and ""i"" start spelling? Why, the word nine.",1,https://www.wanikani.com/radicals/nine
14,人,PERSON,"If you were to draw a person with just strokes like you see in kanji, you'd create a stick figure, maybe something like this: 大. But this is just a person, not someone holding out their arms to show how big they are. So their arms are down, which makes them look like a torso with a pair of legs. Maybe they're walking too, which is why their legs are spread out like that. You can see the person now, can't you?",1,https://www.wanikani.com/radicals/person
15,力,POWER,Imagine a guy flexing his arm downward to show off his steroid-pumped arm. It's huge. It's so full of power. RARRRWWWRRR!!,1,https://www.wanikani.com/radicals/power
16,勹,PRISON,"This looks like an enclosure of sorts - that's why it's a prison. It wraps itself around things and locks them in there. Prisons are pretty scary, even before you imagine one slowly floating down from the sky to trap you.",1,https://www.wanikani.com/radicals/prison
17,川,RIVER,"This radical already looks like a river. See the banks of the river on the side and the flow of the river in the middle? There's even a slight turn in the river too. So when you see this radical, you should think ""river.""",1,https://www.wanikani.com/radicals/river
